% Copyright (C) 2001-2018 Artifex Software, Inc.
% All Rights Reserved.
%
% This software is provided AS-IS with no warranty, either express or
% implied.
%
% This software is distributed under license and may not be copied,
% modified or distributed except as expressly authorized under the terms
% of the license contained in the file LICENSE in this distribution.
%
% Refer to licensing information at http://www.artifex.com or contact
% Artifex Software, Inc.,  1305 Grant Avenue - Suite 200, Novato,
% CA 94945, U.S.A., +1(415)492-9861, for further information.
%
%
% Unicode Decoding
% Maps PS and TT names to Unicode UTF-16.

% The file is in tabular format, with columns separated by exactly 2 spaces.
% The 1st column is the Unicode value assigned to all names in that row.
% The other columns contain glyph names based on the source these names
% came from; if a column contains more than 1 name, these are separated by
% exactly one space. So, WHITESPACE IS SIGNIFICANT (for documenting/editing purposes).
%
% The sources of glyph names in the current version of this file are, in column order:
%
% [AGLFN] Adobe Glyph List For New Fonts v1.7 dated November 6, 2008
%         http://www.adobe.com/devnet-archive/opentype/archives/aglfn.txt
% [AGLv2] Adobe Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/glyphlist.txt
%         - this list is a strict superset of [AGLFN], and only names that are not
%           already in [AGLFN] are present in this column.
%         - mappings to sequences of UVs (decomposed ligatures) are
%           commented out with a "%L#" at the beginning of the line.
% [ZDGL2] ITC Zapf Dingbats Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/zapfdingbats.txt
% [R9887] All names that were present in SVN revision 9887 of this file and
%         are not included in any of the lists above.
%
%/Unicode         % resource name
%6514             % # of names
%/ParseDecoding /ProcSet findresource /Parse get exec
%
16#0000        .null NUL
16#0340    gravetonecmb
16#0341    acutetonecmb
16#0342    perispomenigreekcmb
16#0343    koroniscmb
16#0344    dialytikatonoscmb
16#0345    ypogegrammenigreekcmb
16#0360    tildedoublecmb
16#0361    breveinverteddoublecmb
16#0374    numeralsigngreek
16#0375    numeralsignlowergreek
16#037A    ypogegrammeni
16#037E    questiongreek
16#0384  tonos
16#0385  dieresistonos  dialytikatonos
16#0386  Alphatonos
16#0387  anoteleia
16#0388  Epsilontonos
16#0389  Etatonos
16#038A  Iotatonos
16#038C  Omicrontonos
16#038E  Upsilontonos
16#038F  Omegatonos
16#0390  iotadieresistonos
16#0391  Alpha
16#0392  Beta
16#0393  Gamma
16#0394    Deltagreek
16#0395  Epsilon
16#0396  Zeta
16#0397  Eta
16#0398  Theta
16#0399  Iota
16#039A  Kappa
16#039B  Lambda
16#039C  Mu
16#039D  Nu
16#039E  Xi      Yat
16#039F  Omicron      yat
16#03A0  Pi
16#03A1  Rho
16#03A3  Sigma
16#03A4  Tau
16#03A5  Upsilon
16#03A6  Phi      Yusbig
16#03A7  Chi      yusbig
16#03A8  Psi
16#03A9    Omegagreek
16#03AA  Iotadieresis
16#03AB  Upsilondieresis
16#03AC  alphatonos
16#03AD  epsilontonos
16#03AE  etatonos
16#03AF  iotatonos
16#03B0  upsilondieresistonos
16#03B1  alpha
16#03B2  beta
16#03B3  gamma
16#03B4  delta
16#03B5  epsilon
16#03B6  zeta
16#03B7  eta
16#03B8  theta
16#03B9  iota
16#03BA  kappa
16#03BB  lambda
16#03BC    mugreek
16#03BD  nu
16#03BE  xi
16#03BF  omicron
16#03C0  pi
16#03C1  rho
16#03C2  sigma1  sigmafinal
16#03C3  sigma
16#03C4  tau
16#03C5  upsilon
16#03C6  phi
16#03C7  chi
16#03C8  psi
16#03C9  omega
16#03CA  iotadieresis
16#03CB  upsilondieresis
16#03CC  omicrontonos
16#03CD  upsilontonos
16#03CE  omegatonos      Gebar
16#03CF        gebar
16#03D0    betasymbolgreek    Gehook
16#03D1  theta1  thetasymbolgreek    gehook
16#03D2  Upsilon1  Upsilonhooksymbol    Zhertdes
16#03D3    Upsilonacutehooksymbolgreek    zhertdes
16#03D4    Upsilondieresishooksymbolgreek    Zecedilla
16#03D5  phi1  phisymbolgreek    zecedilla
16#03D6  omega1  pisymbolgreek    Kartdes
16#03D7        kartdes
16#03D8        Kavertbar
16#03D9        kavertbar
16#03DA    Stigmagreek    Kabar
16#03DB        kabar
16#03DC    Digammagreek    GeKarev
16#03DD        gekarev
16#03DE    Koppagreek    Enrtdes
16#03DF        enrtdes
16#03E0    Sampigreek    EnGe
16#03E1        enge
16#03E2    Sheicoptic    Pehook
16#03E3    sheicoptic    pehook
16#03E4    Feicoptic    Ohook
16#03E5    feicoptic    ohook
16#03E6    Kheicoptic    Escedilla
16#03E7    kheicoptic    escedilla
16#03E8    Horicoptic    Tertdes
16#03E9    horicoptic    tertdes
16#03EA    Gangiacoptic    Ustrt
16#03EB    gangiacoptic    ustrt
16#03EC    Shimacoptic    Ustrtbar
16#03ED    shimacoptic    ustrtbar
16#03EE    Deicoptic    Khartdes
16#03EF    deicoptic    khartdes
16#03F0    kappasymbolgreek    TeTse
16#03F1    rhosymbolgreek    tetse
16#03F2    sigmalunatesymbolgreek    Chertdes
16#03F3    yotgreek    chertdes
16#03F4        Chevertbar
16#03F5        chevertbar
16#03F6        Hcyril
16#03F7        hcyril
16#03F8        Iehook
16#03F9        iehook
16#03FA        Iehookogonek
16#03FB        iehookogonek
16#03FC        Icyril1
16#03FD        Zhebreve
16#03FE        zhebreve
16#03FF        Kahook
16#0400        kahook
16#0401    afii10023 Iocyrillic    Io
16#0402    afii10051 Djecyrillic    Dje
16#0403    afii10052 Gjecyrillic    Gje
16#0404    afii10053 Ecyrillic    Ecyril
16#0405    afii10054 Dzecyrillic    Dze
16#0406    afii10055 Icyrillic    Icyril
16#0407    afii10056 Yicyrillic    Yi
16#0408    afii10057 Jecyrillic    Je
16#0409    afii10058 Ljecyrillic    Lje
16#040A    afii10059 Njecyrillic    Nje
16#040B    afii10060 Tshecyrillic    Tshe
16#040C    afii10061 Kjecyrillic    Kje
16#040E    afii10062 Ushortcyrillic    Ucyrilbreve
16#040F    afii10145 Dzhecyrillic    Dzhe
16#0410    Acyrillic afii10017    Acyril
16#0411    afii10018 Becyrillic    Be
16#0412    afii10019 Vecyrillic    Ve
16#0413    afii10020 Gecyrillic    Ge
16#0414    afii10021 Decyrillic    De
16#0415    afii10022 Iecyrillic    Ie
16#0416    afii10024 Zhecyrillic    Zhe
16#0417    afii10025 Zecyrillic    Ze
16#0418    afii10026 Iicyrillic    Ii
16#0419    afii10027 Iishortcyrillic    Iibreve
16#041A    afii10028 Kacyrillic    Ka
16#041B    afii10029 Elcyrillic    El
16#041C    afii10030 Emcyrillic    Em
16#041D    afii10031 Encyrillic    En
16#041E    afii10032 Ocyrillic    Ocyril
16#041F    afii10033 Pecyrillic    Pecyril
16#0420    afii10034 Ercyrillic    Er
16#0421    afii10035 Escyrillic    Es
16#0422    afii10036 Tecyrillic    Te
16#0423    afii10037 Ucyrillic    Ucyril
16#0424    afii10038 Efcyrillic    Ef
16#0425    afii10039 Khacyrillic    Kha
16#0426    afii10040 Tsecyrillic    Tse
16#0427    afii10041 Checyrillic    Che
16#0428    afii10042 Shacyrillic    Sha
16#0429    afii10043 Shchacyrillic    Shcha
16#042A    afii10044 Hardsigncyrillic    Hard
16#042B    afii10045 Yericyrillic    Yeri
16#042C    afii10046 Softsigncyrillic    Soft
16#042D    afii10047 Ereversedcyrillic    Ecyrilrev
16#042E    afii10048 IUcyrillic    Iu
16#042F    afii10049 IAcyrillic    Ia
16#0430    acyrillic afii10065    acyril
16#0431    afii10066 becyrillic    be
16#0432    afii10067 vecyrillic    ve
16#0433    afii10068 gecyrillic    ge
16#0434    afii10069 decyrillic    de
16#0435    afii10070 iecyrillic    ie
16#0436    afii10072 zhecyrillic    zhe
16#0437    afii10073 zecyrillic    ze
16#0438    afii10074 iicyrillic    ii
16#0439    afii10075 iishortcyrillic    iibreve
16#043A    afii10076 kacyrillic    ka
16#043B    afii10077 elcyrillic    el
16#043C    afii10078 emcyrillic    em
16#043D    afii10079 encyrillic    en
16#043E    afii10080 ocyrillic    ocyril
16#043F    afii10081 pecyrillic    pecyril
16#0440    afii10082 ercyrillic    er
16#0441    afii10083 escyrillic    es
16#0442    afii10084 tecyrillic    te
16#0443    afii10085 ucyrillic    ucyril
16#0444    afii10086 efcyrillic    ef
16#0445    afii10087 khacyrillic    kha
16#0446    afii10088 tsecyrillic    tse
16#0447    afii10089 checyrillic    che
16#0448    afii10090 shacyrillic    sha
16#0449    afii10091 shchacyrillic    shcha
16#044A    afii10092 hardsigncyrillic    hard
16#044B    afii10093 yericyrillic    yeri
16#044C    afii10094 softsigncyrillic    soft
16#044D    afii10095 ereversedcyrillic    ecyrilrev
16#044E    afii10096 iucyrillic    iu
16#044F    afii10097 iacyrillic    ia
16#0451    afii10071 iocyrillic    io
16#0452    afii10099 djecyrillic    dje
16#0453    afii10100 gjecyrillic    gje
16#0454    afii10101 ecyrillic    ecyril
16#0455    afii10102 dzecyrillic    dze
16#0456    afii10103 icyrillic    icyril
16#0457    afii10104 yicyrillic    yi
16#0458    afii10105 jecyrillic    je
16#0459    afii10106 ljecyrillic    lje
16#045A    afii10107 njecyrillic    nje
16#045B    afii10108 tshecyrillic    tshe
16#045C    afii10109 kjecyrillic    kje
16#045E    afii10110 ushortcyrillic    ucyrilbreve
16#045F    afii10193 dzhecyrillic    dzhe
16#0460    Omegacyrillic
16#0461    omegacyrillic
16#0462    afii10146 Yatcyrillic
16#0463    afii10194 yatcyrillic
16#0464    Eiotifiedcyrillic
16#0465    eiotifiedcyrillic
16#0466    Yuslittlecyrillic
16#0467    yuslittlecyrillic
16#0468    Yuslittleiotifiedcyrillic
16#0469    yuslittleiotifiedcyrillic
16#046A    Yusbigcyrillic
16#046B    yusbigcyrillic
16#046C    Yusbigiotifiedcyrillic
16#046D    yusbigiotifiedcyrillic
16#046E    Ksicyrillic
16#046F    ksicyrillic
16#0470    Psicyrillic
16#0471    psicyrillic
16#0472    afii10147 Fitacyrillic
16#0473    afii10195 fitacyrillic
16#0474    afii10148 Izhitsacyrillic
16#0475    afii10196 izhitsacyrillic    afii10190
16#0476    Izhitsadblgravecyrillic
16#0477    izhitsadblgravecyrillic
16#0478    Ukcyrillic
16#0479    ukcyrillic
16#047A    Omegaroundcyrillic
16#047B    omegaroundcyrillic
16#047C    Omegatitlocyrillic
16#047D    omegatitlocyrillic
16#047E    Otcyrillic
16#047F    otcyrillic
16#0480    Koppacyrillic
16#0481    koppacyrillic
16#0482    thousandcyrillic
16#0483    titlocyrilliccmb
16#0484    palatalizationcyrilliccmb
16#0485    dasiapneumatacyrilliccmb
16#0486    psilipneumatacyrilliccmb
16#0490    afii10050 Gheupturncyrillic    Geupturn
16#0491    afii10098 gheupturncyrillic    geupturn
16#0492    Ghestrokecyrillic
16#0493    ghestrokecyrillic
16#0494    Ghemiddlehookcyrillic
16#0495    ghemiddlehookcyrillic
16#0496    Zhedescendercyrillic
16#0497    zhedescendercyrillic
16#0498    Zedescendercyrillic
16#0499    zedescendercyrillic
16#049A    Kadescendercyrillic
16#049B    kadescendercyrillic
16#049C    Kaverticalstrokecyrillic
16#049D    kaverticalstrokecyrillic
16#049E    Kastrokecyrillic
16#049F    kastrokecyrillic
16#04A0    Kabashkircyrillic
16#04A1    kabashkircyrillic
16#04A2    Endescendercyrillic
16#04A3    endescendercyrillic
16#04A4    Enghecyrillic
16#04A5    enghecyrillic
16#04A6    Pemiddlehookcyrillic
16#04A7    pemiddlehookcyrillic
16#04A8    Haabkhasiancyrillic
16#04A9    haabkhasiancyrillic
16#04AA    Esdescendercyrillic
16#04AB    esdescendercyrillic
16#04AC    Tedescendercyrillic
16#04AD    tedescendercyrillic
16#04AE    Ustraightcyrillic
16#04AF    ustraightcyrillic
16#04B0    Ustraightstrokecyrillic
16#04B1    ustraightstrokecyrillic
16#04B2    Hadescendercyrillic
16#04B3    hadescendercyrillic
16#04B4    Tetsecyrillic
16#04B5    tetsecyrillic    Lcircumflex
16#04B6    Chedescendercyrillic    lcircumflex
16#04B7    chedescendercyrillic
16#04B8    Cheverticalstrokecyrillic
16#04B9    cheverticalstrokecyrillic
16#04BA    Shhacyrillic
16#04BB    shhacyrillic
16#04BC    Cheabkhasiancyrillic
16#04BD    cheabkhasiancyrillic
16#04BE    Chedescenderabkhasiancyrillic
16#04BF    chedescenderabkhasiancyrillic
16#04C0    palochkacyrillic
16#04C1    Zhebrevecyrillic
16#04C2    zhebrevecyrillic
16#04C3    Kahookcyrillic
16#04C4    kahookcyrillic
16#04C7    Enhookcyrillic
16#04C8    enhookcyrillic
16#04CB    Chekhakassiancyrillic
16#04CC    chekhakassiancyrillic
16#04D0    Abrevecyrillic
16#04D1    abrevecyrillic
16#04D2    Adieresiscyrillic
16#04D3    adieresiscyrillic
16#04D4    Aiecyrillic
16#04D5    aiecyrillic
16#04D6    Iebrevecyrillic
16#04D7    iebrevecyrillic
16#04D8    Schwacyrillic
16#04D9    afii10846 schwacyrillic
16#04DA    Schwadieresiscyrillic
16#04DB    schwadieresiscyrillic
16#04DC    Zhedieresiscyrillic
16#04DD    zhedieresiscyrillic
16#04DE    Zedieresiscyrillic
16#04DF    zedieresiscyrillic
16#04E0    Dzeabkhasiancyrillic
16#04E1    dzeabkhasiancyrillic
16#04E2    Imacroncyrillic
16#04E3    imacroncyrillic
16#04E4    Idieresiscyrillic
16#04E5    idieresiscyrillic
16#04E6    Odieresiscyrillic
16#04E7    odieresiscyrillic
16#04E8    Obarredcyrillic
16#04E9    obarredcyrillic
16#04EA    Obarreddieresiscyrillic
16#04EB    obarreddieresiscyrillic
16#04EE    Umacroncyrillic
16#04EF    umacroncyrillic
16#04F0    Udieresiscyrillic
16#04F1    udieresiscyrillic
16#04F2    Uhungarumlautcyrillic
16#04F3    uhungarumlautcyrillic
16#04F4    Chedieresiscyrillic
16#04F5    chedieresiscyrillic
16#04F8    Yerudieresiscyrillic
16#04F9    yerudieresiscyrillic
16#0531    Aybarmenian
16#0532    Benarmenian
16#0533    Gimarmenian
16#0534    Daarmenian
16#0535    Echarmenian
16#0536    Zaarmenian
16#0537    Eharmenian
16#0538    Etarmenian
16#0539    Toarmenian
16#053A    Zhearmenian
16#053B    Iniarmenian
16#053C    Liwnarmenian
16#053D    Xeharmenian
16#053E    Caarmenian
16#053F    Kenarmenian
16#0540    Hoarmenian
16#0541    Jaarmenian
16#0542    Ghadarmenian
16#0543    Cheharmenian
16#0544    Menarmenian
16#0545    Yiarmenian
16#0546    Nowarmenian
16#0547    Shaarmenian
16#0548    Voarmenian
16#0549    Chaarmenian
16#054A    Peharmenian
16#054B    Jheharmenian
16#054C    Raarmenian
16#054D    Seharmenian
16#054E    Vewarmenian
16#054F    Tiwnarmenian
16#0550    Reharmenian
16#0551    Coarmenian
16#0552    Yiwnarmenian
16#0553    Piwrarmenian
16#0554    Keharmenian
16#0555    Oharmenian
16#0556    Feharmenian
16#0559    ringhalfleftarmenian
16#055A    apostrophearmenian
16#055B    emphasismarkarmenian
16#055C    exclamarmenian
16#055D    commaarmenian
16#055E    questionarmenian
16#055F    abbreviationmarkarmenian
16#0561    aybarmenian
16#0562    benarmenian
16#0563    gimarmenian
16#0564    daarmenian
16#0565    echarmenian
16#0566    zaarmenian
16#0567    eharmenian
16#0568    etarmenian
16#0569    toarmenian
16#056A    zhearmenian
16#056B    iniarmenian
16#056C    liwnarmenian
16#056D    xeharmenian
16#056E    caarmenian
16#056F    kenarmenian
16#0570    hoarmenian
16#0571    jaarmenian
16#0572    ghadarmenian
16#0573    cheharmenian
16#0574    menarmenian
16#0575    yiarmenian
16#0576    nowarmenian
16#0577    shaarmenian
16#0578    voarmenian
16#0579    chaarmenian    SM300000
16#057A    peharmenian    SM320000
16#057B    jheharmenian    SM310000
16#057C    raarmenian    SM330000
16#057D    seharmenian    SM780000 arrowlongboth
16#057E    vewarmenian    SM760000 arrowlongbothv
16#057F    tiwnarmenian    arrownorthwest
16#0580    reharmenian    arrownortheast
16#0581    coarmenian    arrowsoutheast
16#0582    yiwnarmenian    arrowsouthwest
16#0583    piwrarmenian    arrowleftnot
16#0584    keharmenian    arrowrightnot
16#0585    oharmenian    arrowwaveleft
16#0586    feharmenian    arrowwaveright
16#0587    echyiwnarmenian    dblarrowheadleft
16#0588        dblarrowheadup
16#0589    periodarmenian    dblarrowheadright
16#058A        dblarrowheaddown
16#058B        arrowtailleft
16#058C        arrowtailright
16#058D        arrowbarleft
16#058E        arrowbarup
16#058F        arrowbarright
16#0590        arrowbardown
16#0591    etnahtafoukhhebrew etnahtafoukhlefthebrew etnahtahebrew etnahtalefthebrew    SM770000 arrowbothvbase
16#0592    segoltahebrew    arrowhookleft
16#0593    shalshelethebrew    arrowhookright
16#0594    zaqefqatanhebrew    arrowloopleft
16#0595    zaqefgadolhebrew    arrowloopright
16#0596    tipehahebrew tipehalefthebrew    arrowwaveboth
16#0597    reviahebrew reviamugrashhebrew    arrowlongbothnot
16#0598    zarqahebrew    arrowzigzag
16#0599    pashtahebrew    null
16#059A    yetivhebrew    startofhead
16#059B    tevirhebrew tevirlefthebrew    starttext
16#059C    gereshaccenthebrew    endtext
16#059D    gereshmuqdamhebrew    endtrans
16#059E    gershayimaccenthebrew    enquiry
16#059F    qarneyparahebrew    acknowledge
16#05A0    telishagedolahebrew    bell
16#05A1    pazerhebrew    backspace
16#05A2        horiztab
16#05A3    munahhebrew munahlefthebrew    linefeed
16#05A4    mahapakhhebrew mahapakhlefthebrew    verttab
16#05A5    merkhahebrew merkhalefthebrew    formfeed
16#05A6    merkhakefulahebrew merkhakefulalefthebrew
16#05A7    dargahebrew dargalefthebrew    shiftout
16#05A8    qadmahebrew    shiftin
16#05A9    telishaqetanahebrew    datalinkescape devcon0
16#05AA    yerahbenyomohebrew yerahbenyomolefthebrew    auxiliaryon devcon1
16#05AB    olehebrew    devcon2
16#05AC    iluyhebrew    auxiliaryoff devcon3
16#05AD    dehihebrew    devcon4
16#05AE    zinorhebrew    negacknowledge
16#05AF    masoracirclehebrew    synch
16#05B0    afii57799 sheva sheva115 sheva15 sheva22 sheva2e shevahebrew shevanarrowhebrew shevaquarterhebrew shevawidehebrew    endtransblock
16#05B1    afii57801 hatafsegol hatafsegol17 hatafsegol24 hatafsegol30 hatafsegolhebrew hatafsegolnarrowhebrew hatafsegolquarterhebrew hatafsegolwidehebrew    cancel
16#05B2    afii57800 hatafpatah hatafpatah16 hatafpatah23 hatafpatah2f hatafpatahhebrew hatafpatahnarrowhebrew hatafpatahquarterhebrew hatafpatahwidehebrew    endmedium
16#05B3    afii57802 hatafqamats hatafqamats1b hatafqamats28 hatafqamats34 hatafqamatshebrew hatafqamatsnarrowhebrew hatafqamatsquarterhebrew hatafqamatswidehebrew    substitute endoffile
16#05B4    afii57793 hiriq hiriq14 hiriq21 hiriq2d hiriqhebrew hiriqnarrowhebrew hiriqquarterhebrew hiriqwidehebrew    escape
16#05B5    afii57794 tsere tsere12 tsere1e tsere2b tserehebrew tserenarrowhebrew tserequarterhebrew tserewidehebrew    fileseparator
16#05B6    afii57795 segol segol13 segol1f segol2c segolhebrew segolnarrowhebrew segolquarterhebrew segolwidehebrew    groupseparator
16#05B7    afii57798 patah patah11 patah1d patah2a patahhebrew patahnarrowhebrew patahquarterhebrew patahwidehebrew    recordseparator
16#05B8    afii57797 qamats qamats10 qamats1a qamats1c qamats27 qamats29 qamats33 qamatsde qamatshebrew qamatsnarrowhebrew qamatsqatanhebrew qamatsqatannarrowhebrew qamatsqatanquarterhebrew qamatsqatanwidehebrew qamatsquarterhebrew qamatswidehebrew    unitseparator
16#05B9    afii57806 holam holam19 holam26 holam32 holamhebrew holamnarrowhebrew holamquarterhebrew holamwidehebrew    spaceliteral
16#05BA        delete
16#05BB    afii57796 qubuts qubuts18 qubuts25 qubuts31 qubutshebrew qubutsnarrowhebrew qubutsquarterhebrew qubutswidehebrew    qibuts blankb
16#05BC    afii57807 dagesh dageshhebrew    spaceopenbox
16#05BD    afii57839 siluqhebrew siluqlefthebrew    meteg newline
16#05BE    afii57645 maqafhebrew    maqaf
16#05BF    afii57841 rafe rafehebrew
16#05C0    afii57842 paseqhebrew    paseq
16#05C1    afii57804 shindothebrew    shindot
16#05C2    afii57803 sindothebrew    sindot
16#05C3    afii57658 sofpasuqhebrew    sofpasuq
16#05C4    upperdothebrew
16#05D0    afii57664 alef alefhebrew
16#05D1    afii57665 bet bethebrew
16#05D2    afii57666 gimel gimelhebrew
16#05D3    afii57667 dalet dalethebrew
%L#05D3_05B0    daletsheva daletshevahebrew
%L#05D3_05B1    dalethatafsegol dalethatafsegolhebrew
%L#05D3_05B2    dalethatafpatah dalethatafpatahhebrew
%L#05D3_05B4    dalethiriq dalethiriqhebrew
%L#05D3_05B5    dalettsere dalettserehebrew
%L#05D3_05B6    daletsegol daletsegolhebrew
%L#05D3_05B7    daletpatah daletpatahhebrew
%L#05D3_05B8    daletqamats daletqamatshebrew
%L#05D3_05B9    daletholam daletholamhebrew
%L#05D3_05BB    daletqubuts daletqubutshebrew
16#05D4    afii57668 he hehebrew
16#05D5    afii57669 vav vavhebrew
16#05D6    afii57670 zayin zayinhebrew
16#05D7    afii57671 het hethebrew
16#05D8    afii57672 tet tethebrew
16#05D9    afii57673 yod yodhebrew
16#05DA    afii57674 finalkaf finalkafhebrew    kaffinal
%L#05DA_05B0    finalkafsheva finalkafshevahebrew
%L#05DA_05B8    finalkafqamats finalkafqamatshebrew
16#05DB    afii57675 kaf kafhebrew
16#05DC    afii57676 lamed lamedhebrew
%L#05DC_05B9    lamedholam lamedholamhebrew
%L#05DC_05B9_05BC    lamedholamdagesh lamedholamdageshhebrew
16#05DD    afii57677 finalmem finalmemhebrew    memfinal
16#05DE    afii57678 mem memhebrew
16#05DF    afii57679 finalnun finalnunhebrew    nunfinal
16#05E0    afii57680 nun nunhebrew
16#05E1    afii57681 samekh samekhhebrew
16#05E2    afii57682 ayin ayinhebrew
16#05E3    afii57683 finalpe finalpehebrew    pefinal
16#05E4    afii57684 pe pehebrew
16#05E5    afii57685 finaltsadi finaltsadihebrew    tsadifinal
16#05E6    afii57686 tsadi tsadihebrew
16#05E7    afii57687 qof qofhebrew
%L#05E7_05B0    qofsheva qofshevahebrew
%L#05E7_05B1    qofhatafsegol qofhatafsegolhebrew
%L#05E7_05B2    qofhatafpatah qofhatafpatahhebrew
%L#05E7_05B4    qofhiriq qofhiriqhebrew
%L#05E7_05B5    qoftsere qoftserehebrew
%L#05E7_05B6    qofsegol qofsegolhebrew
%L#05E7_05B7    qofpatah qofpatahhebrew
%L#05E7_05B8    qofqamats qofqamatshebrew
%L#05E7_05B9    qofholam qofholamhebrew
%L#05E7_05BB    qofqubuts qofqubutshebrew
16#05E8    afii57688 resh reshhebrew
%L#05E8_05B0    reshsheva reshshevahebrew
%L#05E8_05B1    reshhatafsegol reshhatafsegolhebrew
%L#05E8_05B2    reshhatafpatah reshhatafpatahhebrew
%L#05E8_05B4    reshhiriq reshhiriqhebrew
%L#05E8_05B5    reshtsere reshtserehebrew
%L#05E8_05B6    reshsegol reshsegolhebrew
%L#05E8_05B7    reshpatah reshpatahhebrew
%L#05E8_05B8    reshqamats reshqamatshebrew
%L#05E8_05B9    reshholam reshholamhebrew
%L#05E8_05BB    reshqubuts reshqubutshebrew
16#05E9    afii57689 shin shinhebrew
16#05EA    afii57690 tav tavhebrew
16#05F0    afii57716 vavvavhebrew    vavdbl
16#05F1    afii57717 vavyodhebrew    vavyod
16#05F2    afii57718 yodyodhebrew    yoddbl
16#05F3    gereshhebrew    geresh
16#05F4    gershayimhebrew    gershayim
16#060C    afii57388 commaarabic    arabiccomma
16#061B    afii57403 semicolonarabic    arabicsemicolon
16#061F    afii57407 questionarabic    arabicquestionmark
16#0621    afii57409 hamzaarabic hamzalowarabic    hamza
%L#0621_064B    hamzafathatanarabic
%L#0621_064C    hamzadammatanarabic
%L#0621_064D    hamzalowkasratanarabic
%L#0621_064E    hamzafathaarabic
%L#0621_064F    hamzadammaarabic
%L#0621_0650    hamzalowkasraarabic
%L#0621_0652    hamzasukunarabic
16#0622    afii57410 alefmaddaabovearabic    alefwithmaddaabove
16#0623    afii57411 alefhamzaabovearabic    alefwithhamzaabove
16#0624    afii57412 wawhamzaabovearabic    wawwithhamzaabove
16#0625    afii57413 alefhamzabelowarabic    alefwithhamzabelow
16#0626    afii57414 yehhamzaabovearabic    yehwithhamzaabove
16#0627    afii57415 alefarabic    arabicalef
16#0628    afii57416 beharabic    beh
16#0629    afii57417 tehmarbutaarabic    tehmarbuta
16#062A    afii57418 teharabic    teh
16#062B    afii57419 theharabic    theh
16#062C    afii57420 jeemarabic    jeem
16#062D    afii57421 haharabic    hah
16#062E    afii57422 khaharabic    khah
16#062F    afii57423 dalarabic    dal
16#0630    afii57424 thalarabic    thal
16#0631    afii57425 reharabic    reh
%L#0631_FEF3_FE8E_0644    rehyehaleflamarabic
16#0632    afii57426 zainarabic    zain
16#0633    afii57427 seenarabic    seen
16#0634    afii57428 sheenarabic    sheen
16#0635    afii57429 sadarabic    sad
16#0636    afii57430 dadarabic    dad
16#0637    afii57431 taharabic    tah
16#0638    afii57432 zaharabic    zah
16#0639    afii57433 ainarabic    ain
16#063A    afii57434 ghainarabic    ghain
16#0640    afii57440 kashidaautoarabic kashidaautonosidebearingarabic tatweelarabic    tatweel
16#0641    afii57441 feharabic    feh
16#0642    afii57442 qafarabic    qaf
16#0643    afii57443 kafarabic    arabickaf
16#0644    afii57444 lamarabic    lam
16#0645    afii57445 meemarabic    meem
16#0646    afii57446 noonarabic    noon
16#0647    afii57470 heharabic    heh
16#0648    afii57448 wawarabic    waw
16#0649    afii57449 alefmaksuraarabic    alefmaksura
16#064A    afii57450 yeharabic    yeh
16#064B    afii57451 fathatanarabic    fathatan
16#064C    afii57452 dammatanaltonearabic dammatanarabic    dammatan
16#064D    afii57453 kasratanarabic    kasratan
16#064E    afii57454 fathaarabic fathalowarabic    fatha
16#064F    afii57455 dammaarabic dammalowarabic    damma
16#0650    afii57456 kasraarabic    kasra
16#0651    afii57457 shaddaarabic    shadda
%L#0651_064B    shaddafathatanarabic
16#0652    afii57458 sukunarabic    sukun
16#0660    afii57392 zeroarabic zerohackarabic    arabicindicdigitzero
16#0661    afii57393 onearabic onehackarabic    arabicindicdigitone
16#0662    afii57394 twoarabic twohackarabic    arabicindicdigittwo
16#0663    afii57395 threearabic threehackarabic    arabicindicdigitthree
16#0664    afii57396 fourarabic fourhackarabic    arabicindicdigitfour
16#0665    afii57397 fivearabic fivehackarabic    arabicindicdigitfive
16#0666    afii57398 sixarabic sixhackarabic    arabicindicdigitsix
16#0667    afii57399 sevenarabic sevenhackarabic    arabicindicdigitseven
16#0668    afii57400 eightarabic eighthackarabic    arabicindicdigiteight
16#0669    afii57401 ninearabic ninehackarabic    arabicindicdigitnine
16#066A    afii57381 percentarabic    arabicpercentsign
16#066B    decimalseparatorarabic decimalseparatorpersian
16#066C    thousandsseparatorarabic thousandsseparatorpersian
16#066D    afii63167 asteriskaltonearabic asteriskarabic    arabicfivepointedstar
16#0670        superscriptalef
16#0671        alefwasla
16#0674        highhamza
16#0679    afii57511 tteharabic
16#067E    afii57506 peharabic    peh
16#0686    afii57507 tcheharabic    tcheh
16#0688    afii57512 ddalarabic
16#0691    afii57513 rreharabic
16#0698    afii57508 jeharabic    jeh
16#06A4    afii57505 veharabic    veh
16#06A9        keheh
16#06AF    afii57509 gafarabic    gaf
16#06BA    afii57514 noonghunnaarabic
16#06C1    haaltonearabic hehaltonearabic
16#06CC        farsiyeh
16#06D1    yehthreedotsbelowarabic
16#06D2    afii57519 yehbarreearabic
16#06D5    afii57534    arabicae
16#06E4        smallhighmadda
16#06F0    zeropersian    extendedarabicindicdigitzero
16#06F1    onepersian    extendedarabicindicdigitone
16#06F2    twopersian    extendedarabicindicdigittwo
